SDD Version, SDDv1.0;
Software, TOPAS-nBio;
Author, Matthew Andriotty;
Simulation Details, Nucleus simulation;
Source, Monoenergetic source;
Source type, 1;
Incident particles, 10;
Mean particle energy, 0.500000;
Energy distribution, M, 0;
Particle fraction, 1.0;
Dose or fluence, 1, 1e-12;
Dose rate, 0.0;
Irradiation target, Nucleus;
Volumes, 0,5,5,5,0,0,0,1,4.65,4.65,4.65,0,0,0;
Chromosome sizes, 46,252.823,252.823,248.157,248.157,204.04,204.04,195.556,195.556,184.951,184.951,174.77,174.77,162.469,162.469,149.318,149.318,143.38,143.38,138.289,138.289,137.441,137.441,135.32,135.32,116.655,116.655,108.595,108.595,102.656,102.656,90.7788,90.7788,80.1738,80.1738,77.6286,77.6286,65.3268,65.3268,63.63,63.63,47.9346,47.9346,50.4798,50.4798,58.9638,158.227;
DNA Density, 14.4316;
Cell Cycle Phase, 0, 1;
DNA Structure, 0, 1;
In vitro / in vivo, 0;
Proliferation status, 1;
Microenvironment, 20, 0.01;
Damage definition, 1, 0, 10, 10, 17.5;
Time, 0.000000;
Damage and primary count, 1542, 10;
Data entries, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0;
Additional information, ;
***EndOfHeader***;

0, 0; 2.062697, 0.976080, -2.387950 / 2.063236, 0.976283, -2.387150 / 2.062159, 0.975876, -2.388750; 1, 3, 1, 0; 0.412396736743; 2, 2, 1; 0, 3, 0; 2, 4, 0 / 3, 1, 1 / 3, 8, 3 / 3, 9, 1 ;
0, 0; 2.060404, 0.977680, -2.387614 / 2.061394, 0.977850, -2.386742 / 2.059413, 0.977510, -2.388486; 1, 3, 1, 0; 0.412397220308; 2, 1, 2; 0, 3, 0; 2, 1, 1 / 2, 7, 2 / 2, 9, 2 / 3, 3, 0 ;
0, 0; 1.998267, 1.004707, -2.377438 / 1.999276, 1.005480, -2.377166 / 1.997258, 1.003935, -2.377711; 1, 3, 1, 0; 0.413171798499; 2, 1, 3; 0, 4, 0; 2, 1, 2 / 2, 2, 0 / 2, 3, 2 / 2, 4, 0 / 2, 5, 2 / 2, 10, 1 / 3, 7, 0 / 3, 8, 0 / 3, 10, 0 ;
0, 0; 1.999788, 1.015190, -2.383781 / 2.000673, 1.015635, -2.383294 / 1.998902, 1.014745, -2.384269; 1, 3, 1, 0; 0.413172809955; 0, 3, 0; 0, 3, 0; 3, 1, 1 / 3, 5, 1 / 3, 6, 0 / 3, 7, 1 / 3, 8, 0 / 3, 9, 0 ;
0, 0; 1.625213, 1.190510, -2.304782 / 1.625768, 1.191208, -2.303598 / 1.624659, 1.189811, -2.305966; 1, 3, 1, 0; 0.414679295768; 2, 2, 2; 0, 4, 1; 2, 1, 1 / 2, 2, 2 / 2, 3, 2 / 2, 4, 0 / 2, 10, 0 / 3, 7, 0 / 3, 9, 1 ;
0, 0; -0.063322, 1.952492, -1.975126 / -0.062865, 1.953637, -1.974829 / -0.063779, 1.951347, -1.975423; 1, 3, 1, 0; 0.775621425146; 2, 1, 2; 0, 3, 0; 2, 1, 2 / 2, 6, 0 / 2, 7, 1 / 2, 8, 2 / 3, 8, 0 / 3, 9, 0 / 3, 10, 0 ;
0, 0; 1.049100, 1.449480, -2.193110 / 1.049233, 1.449521, -2.192980 / 1.048967, 1.449439, -2.193240; 1, 3, 1, 0; 0.387824719835; 2, 1, 1; 0, 2, 0; 2, 2, 0 / 2, 7, 0 / 2, 8, 0 / 2, 10, 0 / 3, 1, 2 / 3, 3, 1 ;
0, 0; 1.293698, 1.339410, -2.241551 / 1.294472, 1.340440, -2.241244 / 1.292924, 1.338380, -2.241859; 1, 3, 1, 0; 0.388654553367; 1, 0, 3; 0, 3, 0; 2, 3, 0 / 2, 10, 0 / 3, 1, 3 / 3, 2, 0 / 3, 3, 2 / 3, 5, 2 ;
0, 0; 1.337062, 1.323848, -2.246689 / 1.337100, 1.324434, -2.246472 / 1.337025, 1.323261, -2.246905; 1, 3, 1, 0; 0.389192752975; 1, 0, 2; 0, 2, 0; 2, 1, 2 / 2, 2, 2 / 3, 5, 0 / 3, 6, 0 ;
0, 0; 1.646547, 1.178949, -2.309694 / 1.646914, 1.179107, -2.309687 / 1.646180, 1.178791, -2.309702; 1, 3, 1, 0; 0.414675024279; 1, 0, 2; 0, 2, 0; 3, 1, 3 / 3, 2, 3 / 3, 3, 0 ;
0, 0; 1.632259, 1.185080, -2.306941 / 1.632945, 1.186074, -2.306501 / 1.631572, 1.184087, -2.307381; 1, 3, 1, 0; 0.414679062045; 1, 0, 2; 0, 2, 0; 3, 1, 2 / 3, 5, 0 / 3, 6, 3 ;
0, 0; 2.345741, 0.843024, -2.430324 / 2.346125, 0.843081, -2.430206 / 2.345356, 0.842967, -2.430441; 1, 3, 1, 0; 0.446891604911; 2, 1, 1; 0, 2, 0; 2, 9, 0 / 3, 1, 1 / 3, 3, 2 ;
0, 0; 0.238443, 1.807075, -2.036683 / 0.238449, 1.807124, -2.036592 / 0.238438, 1.807025, -2.036775; 1, 3, 1, 0; 0.734193200272; 0, 2, 0; 0, 2, 0; 3, 1, 1 / 3, 2, 1 ;
0, 0; 0.180229, 1.835156, -2.019531 / 0.180266, 1.835192, -2.019506 / 0.180193, 1.835121, -2.019557; 1, 3, 1, 0; 0.734972299794; 2, 1, 1; 0, 2, 0; 3, 1, 1 / 3, 2, 2 / 3, 4, 0 ;
0, 0; 0.760824, 1.566656, -2.129521 / 0.760830, 1.566677, -2.129469 / 0.760819, 1.566636, -2.129573; 1, 3, 1, 0; 0.737065583481; 2, 1, 1; 0, 2, 0; 3, 1, 1 / 3, 2, 2 ;
0, 0; 0.006425, 1.915465, -1.986577 / 0.006581, 1.915470, -1.986523 / 0.006269, 1.915461, -1.986632; 1, 3, 1, 0; 0.772844683003; 0, 2, 0; 0, 2, 0; 2, 1, 1 / 2, 2, 1 / 2, 6, 0 / 3, 4, 0 / 3, 10, 0 ;
0, 0; -0.040029, 1.939228, -1.978469 / -0.039718, 1.939730, -1.977852 / -0.040340, 1.938726, -1.979086; 1, 3, 1, 0; 0.775617645281; 2, 1, 1; 0, 2, 0; 3, 1, 1 / 3, 4, 2 ;
0, 0; -0.789980, 2.345032, -1.875916 / -0.789443, 2.345301, -1.875805 / -0.790518, 2.344764, -1.876027; 1, 3, 1, 0; 0.780967399670; 0, 2, 0; 0, 2, 0; 2, 4, 0 / 3, 1, 1 / 3, 2, 0 / 3, 3, 1 ;
0, 0; 1.207663, 1.375287, -2.225853 / 1.207663, 1.375287, -2.225853 / 1.207663, 1.375287, -2.225853; 1, 3, 1, 0; 0.387655730042; 1, 0, 1; 0, 1, 0; 3, 1, 2 / 3, 2, 0 ;
0, 0; 1.215253, 1.374890, -2.225243 / 1.215253, 1.374890, -2.225243 / 1.215253, 1.374890, -2.225243; 1, 3, 1, 0; 0.387656374795; 0, 1, 0; 0, 1, 0; 3, 1, 1 ;
0, 0; 1.217735, 1.373905, -2.226970 / 1.217735, 1.373905, -2.226970 / 1.217735, 1.373905, -2.226970; 1, 3, 1, 0; 0.387656834182; 0, 1, 0; 0, 1, 0; 2, 1, 1 / 2, 2, 0 ;
0, 0; 1.231722, 1.368111, -2.229193 / 1.231722, 1.368111, -2.229193 / 1.231722, 1.368111, -2.229193; 1, 3, 1, 0; 0.387658442035; 1, 0, 1; 0, 1, 0; 2, 7, 0 / 3, 1, 2 ;
0, 0; 1.046204, 1.442441, -2.190517 / 1.046204, 1.442441, -2.190517 / 1.046204, 1.442441, -2.190517; 1, 3, 1, 0; 0.387817224580; 1, 0, 1; 0, 1, 0; 3, 1, 2 ;
0, 0; 1.060393, 1.443621, -2.196242 / 1.060393, 1.443621, -2.196242 / 1.060393, 1.443621, -2.196242; 1, 3, 1, 0; 0.387818449611; 1, 0, 1; 0, 1, 0; 2, 1, 2 / 2, 2, 0 / 2, 3, 0 ;
0, 0; 1.297415, 1.342616, -2.243384 / 1.297415, 1.342616, -2.243384 / 1.297415, 1.342616, -2.243384; 1, 3, 1, 0; 0.388661436107; 0, 1, 0; 0, 1, 0; 3, 1, 1 ;
0, 0; 1.292004, 1.343519, -2.239849 / 1.292004, 1.343519, -2.239849 / 1.292004, 1.343519, -2.239849; 1, 3, 1, 0; 0.388661943850; 1, 0, 1; 0, 1, 0; 2, 1, 2 / 2, 9, 0 ;
0, 0; 1.337829, 1.326140, -2.247690 / 1.337829, 1.326140, -2.247690 / 1.337829, 1.326140, -2.247690; 1, 3, 1, 0; 0.389192245232; 1, 0, 1; 0, 1, 0; 2, 1, 2 / 2, 3, 0 ;
